Country,Aedes_presence (Ae. aegypti / albopictus),DENV_circulation,DENV_vaccine_access,CHIKV_circulation,CHIKV_vaccine_access,YFV_circulation,YFV_vaccine_access,Culex_presence (Culex tritaeniorhynchus complex),JEV_circulation,JEV_vaccine_access
South Africa,Present,Imported / travel-related cases only,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
South Sudan,Present,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Spain,Present,Autochthonous transmission documented (non-endemic),Licensed & available (private/market),Autochthonous transmission documented (non-endemic),Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Sri Lanka,Present,Endemic / established transmission,Not licensed / not available,Endemic / established transmission,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Present,Endemic / established transmission,Licensed & available (private/market)
Sudan,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Suriname,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Sweden,Limited / sporadic,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Switzerland,Present,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Syrian Arab Republic,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Tajikistan,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
"Tanzania, United Republic of",Present,Endemic / established transmission,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Thailand,Present,Endemic / established transmission,Licensed & available (private/market),Endemic / established transmission,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Present,Endemic / established transmission,Licensed & available (private/market)
Timor-Leste,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Present,Endemic / established transmission,Licensed & available (private/market)
Togo,Present,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Tonga,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
